date,driverId,constructorId,number,grid,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapSpeed,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2018,832,4,55,8,10,1.0,78,6243820,19,18,155.027,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,828,15,9,16,11,0.0,78,6244671,19,12,156.145,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,815,10,11,9,12,0.0,78,6245268,24,19,154.917,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,825,210,20,19,13,0.0,78,6249630,20,17,155.057,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,838,1,2,12,14,0.0,77,\N,76,11,156.291,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,154,210,8,18,15,0.0,77,\N,74,2,160.557,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,845,3,35,13,16,0.0,77,\N,75,4,159.484,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,840,3,18,17,17,0.0,76,\N,61,3,160.295,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,844,15,16,14,18,0.0,70,\N,17,20,154.590,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,843,5,28,15,19,0.0,70,\N,15,16,155.667,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,4,1,14,7,20,0.0,52,\N,23,13,155.979,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,20,6,5,1,1,25.0,68,5311377,57,2,212.260,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,822,131,77,2,2,18.0,68,5318753,51,3,212.179,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,830,9,33,3,3,15.0,68,5319737,65,1,212.547,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,817,9,3,6,4,12.0,68,5332269,59,5,211.701,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,1,131,44,4,5,10.0,68,5332936,66,6,211.633,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,8,6,7,5,6,8.0,68,5338561,59,4,211.941,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
2018,807,4,27,7,7,6.0,67,\N,64,11,207.699,20.52,27.83,1017.52,0.0,36.95,144.8,2.47
